Ninnetta,Mendez,GArt,Paris,2A,Ninnetta.Mendez@ican-school.com
Queenie,Belldas,GArt,Bordeaux,M1,Queenie.Belldas@ican-school.com
Elyssa,Reneta,GArt,Remote,2A,Elyssa.Reneta@ican-school.com
Bobbi,Pattin,GArt,Bordeaux,1A,Bobbi.Pattin@ican-school.com
Roseline,Anton,GArt,Lille,M1,Roseline.Anton@ican-school.com
Mariele,Bluh,GArt,Paris,1A,Mariele.Bluh@ican-school.com
June,Marcellus,GArt,Lille,M2,June.Marcellus@ican-school.com
Kamilah,Howlyn,GArt,Remote,1A,Kamilah.Howlyn@ican-school.com
Sarette,Daveta,GArt,Lille,3A,Sarette.Daveta@ican-school.com
Leeanne,Croix,GArt,Bordeaux,2A,Leeanne.Croix@ican-school.com
Zaria,Amasa,GArt,Lyon,2A,Zaria.Amasa@ican-school.com
Inga,Idelia,GArt,Lille,M1,Inga.Idelia@ican-school.com
Odessa,Pitt,GArt,Bordeaux,M2,Odessa.Pitt@ican-school.com
Britni,Mintz,GArt,Lyon,2A,Britni.Mintz@ican-school.com
Tatiania,Wenoa,GArt,Bordeaux,2A,Tatiania.Wenoa@ican-school.com
Alyda,Gibbeon,GArt,Lille,1A,Alyda.Gibbeon@ican-school.com
Modestia,Marlie,GArt,Bordeaux,2A,Modestia.Marlie@ican-school.com
Catharine,Sprage,GArt,Remote,2A,Catharine.Sprage@ican-school.com
Aurore,Read,GArt,Lille,M1,Aurore.Read@ican-school.com
Jessy,Claudine,GArt,Lyon,1A,Jessy.Claudine@ican-school.com
Florie,Kress,GArt,Bordeaux,M2,Florie.Kress@ican-school.com
Lucille,Niccolo,GArt,Lyon,3A,Lucille.Niccolo@ican-school.com
Letizia,Euridice,GArt,Lyon,M1,Letizia.Euridice@ican-school.com
Teddie,Vacuva,GArt,Remote,2A,Teddie.Vacuva@ican-school.com
Lexine,Nerita,GArt,Remote,3A,Lexine.Nerita@ican-school.com
Ezmeralda,Riva,GArt,Paris,1A,Ezmeralda.Riva@ican-school.com
Katuscha,Cecile,GArt,Paris,M1,Katuscha.Cecile@ican-school.com
Nadine,Lane,GArt,Lyon,2A,Nadine.Lane@ican-school.com
Florie,Ariella,GArt,Remote,M2,Florie.Ariella@ican-school.com
Raf,Rooney,GArt,Remote,3A,Raf.Rooney@ican-school.com
Oralee,Erskine,GArt,Lyon,1A,Oralee.Erskine@ican-school.com
Dorothy,Lenny,GArt,Bordeaux,M1,Dorothy.Lenny@ican-school.com
Christal,Gualtiero,GArt,Bordeaux,2A,Christal.Gualtiero@ican-school.com
Janenna,Ephrem,GArt,Remote,2A,Janenna.Ephrem@ican-school.com
Kary,Gombach,GArt,Remote,2A,Kary.Gombach@ican-school.com
Jessy,Schonfeld,GArt,Paris,1A,Jessy.Schonfeld@ican-school.com
Elsie,Gualtiero,GArt,Paris,2A,Elsie.Gualtiero@ican-school.com
Correy,Thunell,GArt,Remote,M2,Correy.Thunell@ican-school.com
Asia,Ries,GArt,Lille,3A,Asia.Ries@ican-school.com
Caritta,Katrine,GArt,Paris,1A,Caritta.Katrine@ican-school.com
Gusty,Esmaria,GArt,Paris,M1,Gusty.Esmaria@ican-school.com
Correy,O'Rourke,GArt,Lyon,2A,Correy.O'Rourke@ican-school.com
Hannis,Merell,GArt,Lille,2A,Hannis.Merell@ican-school.com
Olivette,Sinegold,GArt,Bordeaux,3A,Olivette.Sinegold@ican-school.com
Kittie,Romelda,GArt,Lille,2A,Kittie.Romelda@ican-school.com
Pollyanna,Pond,GArt,Lyon,2A,Pollyanna.Pond@ican-school.com
Clary,Raul,GArt,Lille,2A,Clary.Raul@ican-school.com
Ulrike,Wind,GArt,Bordeaux,2A,Ulrike.Wind@ican-school.com
Meriel,Arne,GArt,Bordeaux,3A,Meriel.Arne@ican-school.com
Nariko,Telfer,GArt,Lille,3A,Nariko.Telfer@ican-school.com
Cyb,Mata,GArt,Remote,3A,Cyb.Mata@ican-school.com
Lenna,Syd,GArt,Remote,3A,Lenna.Syd@ican-school.com
Blake,Vorster,GArt,Remote,M1,Blake.Vorster@ican-school.com
Gui,Kress,GArt,Lille,3A,Gui.Kress@ican-school.com
Janeczka,Artie,GArt,Lyon,2A,Janeczka.Artie@ican-school.com
Madeleine,Khorma,GArt,Paris,M1,Madeleine.Khorma@ican-school.com
Augustine,Sinegold,GArt,Bordeaux,M1,Augustine.Sinegold@ican-school.com
Belva,Ramona,GArt,Paris,2A,Belva.Ramona@ican-school.com
Kylynn,Obed,GArt,Paris,3A,Kylynn.Obed@ican-school.com
Amelia,Vastah,GArt,Remote,M1,Amelia.Vastah@ican-school.com
Paule,Dash,GArt,Bordeaux,M1,Paule.Dash@ican-school.com
Benita,Leler,GArt,Remote,M2,Benita.Leler@ican-school.com
Laurene,Barrus,GArt,Remote,2A,Laurene.Barrus@ican-school.com
Livvyy,Khorma,GArt,Remote,3A,Livvyy.Khorma@ican-school.com
Abbie,Delacourt,GArt,Remote,M2,Abbie.Delacourt@ican-school.com
Janenna,Nance,GArt,Paris,3A,Janenna.Nance@ican-school.com
Anestassia,Jethro,GArt,Lille,M1,Anestassia.Jethro@ican-school.com
Oralee,Magdalen,GArt,Bordeaux,1A,Oralee.Magdalen@ican-school.com
Tabbatha,Kimmie,GArt,Bordeaux,2A,Tabbatha.Kimmie@ican-school.com
Ardenia,Delila,GArt,Lyon,M1,Ardenia.Delila@ican-school.com
Karena,Carbo,GArt,Remote,M1,Karena.Carbo@ican-school.com
Lusa,Korey,GArt,Lyon,2A,Lusa.Korey@ican-school.com
Nataline,Jaylene,GArt,Remote,M1,Nataline.Jaylene@ican-school.com
Ruthe,Raul,GArt,Lille,3A,Ruthe.Raul@ican-school.com
Tobe,Amethist,GArt,Lyon,M1,Tobe.Amethist@ican-school.com
Edyth,Truc,GArt,Paris,1A,Edyth.Truc@ican-school.com
Kirbee,Longfellow,GArt,Bordeaux,2A,Kirbee.Longfellow@ican-school.com
Shell,Philipp,GArt,Lille,1A,Shell.Philipp@ican-school.com
Gwyneth,Earlie,GArt,Lille,3A,Gwyneth.Earlie@ican-school.com
Tatiania,Justinn,GArt,Lille,M2,Tatiania.Justinn@ican-school.com
Karly,Narton,GArt,Lyon,M2,Karly.Narton@ican-school.com
Lanae,Torray,GArt,Lille,M1,Lanae.Torray@ican-school.com
Bobinette,Natalia,GArt,Remote,2A,Bobinette.Natalia@ican-school.com
Michaelina,Middleton,GArt,Remote,M1,Michaelina.Middleton@ican-school.com
Jany,Merat,GArt,Lille,1A,Jany.Merat@ican-school.com
Chandra,Lynn,GArt,Lille,3A,Chandra.Lynn@ican-school.com
Sue,Argus,GArt,Bordeaux,M1,Sue.Argus@ican-school.com
