Queenie,Belldas,GArt,Bordeaux,M1,Queenie.Belldas@ican-school.com
Bobbi,Pattin,GArt,Bordeaux,1A,Bobbi.Pattin@ican-school.com
Leeanne,Croix,GArt,Bordeaux,2A,Leeanne.Croix@ican-school.com
Odessa,Pitt,GArt,Bordeaux,M2,Odessa.Pitt@ican-school.com
Tatiania,Wenoa,GArt,Bordeaux,2A,Tatiania.Wenoa@ican-school.com
Modestia,Marlie,GArt,Bordeaux,2A,Modestia.Marlie@ican-school.com
Florie,Kress,GArt,Bordeaux,M2,Florie.Kress@ican-school.com
Dorothy,Lenny,GArt,Bordeaux,M1,Dorothy.Lenny@ican-school.com
Christal,Gualtiero,GArt,Bordeaux,2A,Christal.Gualtiero@ican-school.com
Olivette,Sinegold,GArt,Bordeaux,3A,Olivette.Sinegold@ican-school.com
Ulrike,Wind,GArt,Bordeaux,2A,Ulrike.Wind@ican-school.com
Meriel,Arne,GArt,Bordeaux,3A,Meriel.Arne@ican-school.com
Augustine,Sinegold,GArt,Bordeaux,M1,Augustine.Sinegold@ican-school.com
Paule,Dash,GArt,Bordeaux,M1,Paule.Dash@ican-school.com
Oralee,Magdalen,GArt,Bordeaux,1A,Oralee.Magdalen@ican-school.com
Tabbatha,Kimmie,GArt,Bordeaux,2A,Tabbatha.Kimmie@ican-school.com
Kirbee,Longfellow,GArt,Bordeaux,2A,Kirbee.Longfellow@ican-school.com
Sue,Argus,GArt,Bordeaux,M1,Sue.Argus@ican-school.com
Genovera,Wu,GArt,Bordeaux,M2,Genovera.Wu@ican-school.com
Genevra,Linehan,GArt,Bordeaux,2A,Genevra.Linehan@ican-school.com
Joelly,Maurine,GArt,Bordeaux,3A,Joelly.Maurine@ican-school.com
Mahalia,Joachim,GArt,Bordeaux,3A,Mahalia.Joachim@ican-school.com
Andeee,Sekofski,GArt,Bordeaux,2A,Andeee.Sekofski@ican-school.com
Cindelyn,Olnee,GArt,Bordeaux,2A,Cindelyn.Olnee@ican-school.com
Dione,Bari,GArt,Bordeaux,2A,Dione.Bari@ican-school.com
Fawne,Bakerman,GArt,Bordeaux,3A,Fawne.Bakerman@ican-school.com
Kary,Couture,GArt,Bordeaux,1A,Kary.Couture@ican-school.com
Rosabelle,Nore,GArt,Bordeaux,M1,Rosabelle.Nore@ican-school.com
Cyb,Ranjiv,GArt,Bordeaux,2A,Cyb.Ranjiv@ican-school.com
