Leia,Ramona,Animation,Lyon,1A,Leia.Ramona@ican-school.com
Therine,Tremayne,Communication,Lyon,M1,Therine.Tremayne@ican-school.com
Queenie,Verger,Communication,Lyon,3A,Queenie.Verger@ican-school.com
Gisela,Gualtiero,Concept Art,Lyon,2A,Gisela.Gualtiero@ican-school.com
Meriel,Erich,Animation,Lyon,M2,Meriel.Erich@ican-school.com
Ermengarde,Mauer,Concept Art,Lyon,1A,Ermengarde.Mauer@ican-school.com
Aubrie,Eiser,GDesign,Lyon,M2,Aubrie.Eiser@ican-school.com
Zaria,Amasa,GArt,Lyon,2A,Zaria.Amasa@ican-school.com
Ardenia,Ricki,GProgramming,Lyon,3A,Ardenia.Ricki@ican-school.com
Rosaline,Gualtiero,GProgramming,Lyon,M1,Rosaline.Gualtiero@ican-school.com
Britni,Mintz,GArt,Lyon,2A,Britni.Mintz@ican-school.com
Fayre,Holtz,GProgramming,Lyon,3A,Fayre.Holtz@ican-school.com
Mellicent,Mauer,Concept Art,Lyon,2A,Mellicent.Mauer@ican-school.com
Ileana,Ariella,Animation,Lyon,M1,Ileana.Ariella@ican-school.com
Lesly,Ehrman,GDesign,Lyon,2A,Lesly.Ehrman@ican-school.com
Jessy,Claudine,GArt,Lyon,1A,Jessy.Claudine@ican-school.com
Charlena,Love,Concept Art,Lyon,3A,Charlena.Love@ican-school.com
Consuela,Flyn,Animation,Lyon,1A,Consuela.Flyn@ican-school.com
Alex,Ricki,Concept Art,Lyon,M1,Alex.Ricki@ican-school.com
Lucille,Niccolo,GArt,Lyon,3A,Lucille.Niccolo@ican-school.com
Aaren,Tannie,Concept Art,Lyon,3A,Aaren.Tannie@ican-school.com
Letizia,Euridice,GArt,Lyon,M1,Letizia.Euridice@ican-school.com
Dorene,Taam,Concept Art,Lyon,1A,Dorene.Taam@ican-school.com
Charmaine,O'Carroll,GProgramming,Lyon,M1,Charmaine.O'Carroll@ican-school.com
Deedee,Thad,GProgramming,Lyon,M1,Deedee.Thad@ican-school.com
Phylis,Cassius,GProgramming,Lyon,1A,Phylis.Cassius@ican-school.com
Ira,Horan,GProgramming,Lyon,2A,Ira.Horan@ican-school.com
Ivett,Gavrila,GProgramming,Lyon,3A,Ivett.Gavrila@ican-school.com
Sheelagh,Taima,GProgramming,Lyon,3A,Sheelagh.Taima@ican-school.com
Frieda,Oneida,Narrative Design,Lyon,1A,Frieda.Oneida@ican-school.com
Hollie,Astra,Narrative Design,Lyon,3A,Hollie.Astra@ican-school.com
